Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.25,CUA,CORE,sources/java/node_private/src/eurocontrol/cfmu/xs,Component.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.25,CUA,ADR,sources/java/test/src/eurocontrol/cfmu/aixm51/iemap,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.84,CUA,CORE,sources/xsd/template_files,simple_type_definition.java_template
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.52,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,UnitMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CHMI,CHMI_CONFIG,16.0.8.0.2.2,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/aixm51/ibmap,CodeDayTypeMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.11,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,DesignatedPointMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.3,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CHMI,CHMI_CONFIG,16.0.8.0.0.8,CUA,DOMAIN,sources/java/local/src/eurocontrol/cfmu/cua/domain/corba/env/rl,RlResultSetDecoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.74,CUA,ADR,sources/java/test/src/eurocontrol/cfmu/aixm51/iemap,FeatureMapperTestBase.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.52,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/route,RouteTrackPortionCoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.25,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,DesignatedPointMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.97,CUA,CORE,sources/java/shared/src/eurocontrol/cfmu/aixm51/iemap,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.93,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,TimesheetMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.18,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/unit,NonCoUnitLinkedEntitiesDecoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.23,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/domain/iemap/env/ad,AerodromeMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.28,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,AngleIndicationMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.3,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/domain/iemap/env/rt,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.52,CUA,BACKEND,sources/java/node_private/src/eurocontrol/cfmu/cua/domain/corba/env/common,SpecialDayPeriodListCoder.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.18,CUA,BACKEND,sources/java/test/src/eurocontrol/cfmu/cua/domain/corba/env/unit,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.21,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,RouteSegmentTimeSliceMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.3,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/adr,CACDAIXMExporter.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.3,CUA,BACKEND,sources/java,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.2.9,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/aixm51/iemap,EnRouteSegmentPointMapper.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.84,CUA,CORE,sources/java/shared/src/eurocontrol/cfmu/aixm51/iem,undef
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CHMI,CHMI_CONFIG,16.0.8.0.2.2,CUA,BACKEND,sources/java/test/src/eurocontrol/cfmu/cua/domain/corba/env/airspace,AirspaceCoderTest.java
SC_059161,2011-07-11T08:09:28,CUA,CDE,CDE,CR_031846,undef,undef,CLOSED,CUA,CUA_CONFIG,16.0.0.27,CUA,ADR,sources/java/local/src/eurocontrol/cfmu/domain/iemap/env/pt,RadPointMapper.java
