Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.39,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_OTMV_TACT_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.62,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_HOTSPOT_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.64,ELD,ELD_CONFIG,sources/test/mini/db_debug,TRAFFIC_VOLUME_HAS_OTMV
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.50,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_TACT_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_HOTSPOT_TACT_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_PERM
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.56,ELD,GEO_ENV,sources,env_compile_rerouting_info.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.39,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_PERM
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.50,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_HOTSPOT_TACT_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.39,TACT,TACOT_SCR,sources/an2,test_an2_otmv.query_reply_4.templ
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_HOTSPOT_TACT_INFO
